name,team,patheticism,moxie,divinity,musclitude,thwackability,buoyancy,martyrdom,base_thirst,laserlikeness,continuation,ground_friction,indulgence
Abner Wood,Lovers,0.269173274689517,0.139944048986872,0.428519913796308,0.236389928912213,0.866578440983406,0.510632274127496,0.848771506919791,0.967840813835726,0.167242690769752,0.402217986537525,0.285687277192916,0.797868953821727
Adalberto Tosser,Crabs,0.0916791824084664,0.109835357138035,0.498628208659595,0.289133017533108,0.317320564995987,0.244839407113351,0.843017160774714,0.987992203296045,0.612864239040495,0.751935242431208,0.318166926989417,0.509075643028789
Adelaide Judochop,Mechanics,0.0430581963408753,0.129511619027968,0.263429796230386,0.583047031007428,0.993747144204539,0.514776330335818,0.599376537741941,0.499064756505272,0.433639016835509,0.992085717336311,0.119680542249242,0.183129260607097
Adkins Davis,Tacos,0.607491216146078,0.156013872999233,0.449663191252855,0.267143376429987,0.416979846627169,0.984811799593039,0.928347199643459,0.579460376785583,0.410000920642728,0.0187943628520773,0.9018001679766,0.341813529642787
Adkins Gwiffin,Wild Wings,0.0937050786119864,0.0111478336297177,0.04535700939275,0.189152863419218,0.135623771775732,0.608517972909983,0.887321312786132,0.735229395354306,0.627854171811505,0.65691650011192,0.0411306722298204,0.8855914175991
Adkins Swagger,Breath Mints,0.347389709957719,0.159306427110079,0.787522602167716,0.992879429818812,0.81836115085849,0.594208272168627,0.435594443200295,0.517166708462424,0.834709569943989,0.502641581197218,0.295661116088295,0.863317865459518
Adkins Tosser,Magic,0.305760136047233,0.9637763233356,0.284111271514377,0.269120194310463,0.492392092926921,0.998446567273888,0.133967435647997,0.710648809370128,0.120346730757627,0.549533774522756,0.863047520252306,0.594075440236877
Adrian Melon,Pies,0.275677919523831,0.102258776400002,0.708121881911005,0.951649232283269,0.302170812929687,0.543763547309597,0.332169643391881,0.485051356974451,0.840830817979727,0.584640283713069,0.421240896326304,0.176398971737466
Agan Harrison,Firefighters,0.181769656358699,0.763573635095552,0.734769000529631,0.287591057528919,0.177902698643524,0.191736247934423,0.380243311345569,0.158871567974399,0.147775615471374,0.758835361578159,0.556085911953588,0.511373436394791
Alaynabella Hollywood,Garages,0.216388979665975,0.40284323838016,0.37173515442373,0.951839343218936,0.498068794396406,1.11216466669729,0.831820878771762,0.810119652104028,0.3382707133349,0.340286297693876,0.591947746975708,1.14687837508004
Albert Stink,Millennials,0.87661284494298,0.602417611991875,0.68999614092215,0.839574573775868,0.0597521566678108,0.646556445869085,0.204763431146288,0.596607549738886,0.162943134334043,0.808186156265311,0.235553807231497,0.822608247512147
