name,team,ruthlessness,overpowerment,unthwackability,shakespearianism,suppression,coldness
Abner Wood,Lovers,0.362625744388789,0.183438894434747,0.619305699705543,0.701224223629773,0.571086337164191,0.290219459194669
Adalberto Tosser,Crabs,0.774379083725713,0.290778013926728,0.967941229892856,0.878023605433741,1.07857534655434,0.543385861975896
Adkins Davis,Tacos,0.940361615706147,0.69062939585492,0.305562304751885,0.777553351606782,0.928995164343073,0.721085203554477
Adkins Gwiffin,Wild Wings,0.607563536533982,0.0756682850426127,0.346063160040718,0.594621645097222,0.945104949763827,0.871158178141867
Adkins Swagger,Breath Mints,0.405689218570053,0.107922928733665,0.104039803938522,0.600100063962538,0.433388614541371,0.929482557529125
Adkins Tosser,Magic,0.408553094211706,0.708360375218569,0.680075247252722,0.588230692300403,0.295424390748782,0.338494647674686
Adrian Melon,Pies,0.956712174945523,0.0211315911060976,0.192290736476908,0.0924831127240424,0.729181585789918,0.586090220880722
Agan Harrison,Firefighters,0.408072478374681,0.22643658832959,1.06329850010653,0.261693367492613,0.47062192556354,0.284427801194616
Alaynabella Hollywood,Garages,0.120213556689668,0.0634486772719831,0.072402492226833,0.0603624128039419,0.0572628862061399,0.0528578374408
Albert Stink,Millennials,0.499234530579276,0.634790921811832,0.552234210715787,0.868236163917751,0.00969253599346276,0.107967088246269
Aldo Comeback,Tacos,0.543211676373472,0.0278319602428976,0.237895088447312,0.454980601203791,0.925753217587087,0.361237591312388
Aldon Cashmoney,Sunbeams,0.827541592266505,0.877586525745057,0.657340237333601,0.688913091320887,0.457314301292198,0.624317034540206
Alejandro Leaf,Millennials,0.599570197807928,1.13285974730276,0.484444985764668,0.26145717237881,0.943818826530583,0.609466777761458
Alexander Horne,Lovers,0.423467423627029,0.283121511691055,0.64263330798779,0.623348956382771,0.560575439831333,0.644824033177514
Alexandria Hess,Crabs,0.711068703917133,0.606010871738885,0.554159439072922,0.0897994152167836,0.83952880158454,0.700915683223009
Alexandria Rosales,Spies,0.906710967678946,0.949889161863212,1.00786978434634,0.170874150090316,0.747635958203555,0.752019542612448
Allison Abbott,Steaks,0.955048462142912,1.11319048848597,0.404867368450764,0.284572721903002,0.616793834819784,1.06286016740713
